-119.886654464 34.681428419 -50 
-119.848123417 34.7133404895 -45 
-119.809562628 34.745240421 -40 
-119.770972051 34.7771281897 -35 
-119.73235164 34.8090037716 -30 
-119.693701347 34.8408671429 -25 
-119.655021124 34.8727182796 -20 
-119.616310926 34.9045571578 -15 
-119.577570704 34.9363837533 -10 
-119.538800411 34.9681980421 -5 
-119.5 35 0 
-119.461169424 35.0317896029 5 
-119.422308635 35.0635668266 10 
-119.383417586 35.0953316468 15 
-119.344496229 35.1270840392 20 
-119.305544517 35.1588239795 25 
-119.266562402 35.1905514432 30 
-119.227549838 35.2222664059 35 
-119.188506776 35.2539688432 40 
-119.149433168 35.2856587306 45 
-119.110328967 35.3173360434 50 
>>
-119.057483086 34.1451942774 -75 
-119.030494137 34.1842231585 -70 
-119.003480205 34.2232461252 -65 
-118.976441234 34.2622631635 -60 
-118.949377169 34.3012742591 -55 
-118.922287952 34.3402793978 -50 
-118.895173527 34.3792785653 -45 
-118.868033838 34.4182717474 -40 
-118.840868829 34.4572589297 -35 
-118.813678442 34.4962400978 -30 
-118.78646262 34.5352152374 -25 
-118.759221308 34.5741843339 -20 
-118.731954447 34.613147373 -15 
-118.70466198 34.6521043401 -10 
-118.67734385 34.6910552206 -5 
-118.65 34.73 0 
-118.622630372 34.7689386636 5 
-118.595234908 34.8078711969 10 
-118.56781355 34.846797585 15 
-118.540366241 34.8857178132 20 
-118.512892922 34.9246318669 25 
-118.485393535 34.9635397311 30 
-118.457868022 35.0024413911 35 
-118.430316324 35.041336832 40 
-118.402738382 35.0802260387 45 
-118.375134139 35.1191089965 50 
-118.347503534 35.1579856902 55 
-118.31984651 35.196856105 60 
-118.292163006 35.2357202256 65 
-118.264452964 35.274578037 70 
-118.236716324 35.313429524 75 
>>
-118.731906005 34.0251973079 -75 
-118.704954487 34.0642258008 -70 
-118.677978133 34.1032484057 -65 
-118.650976888 34.1422651084 -60 
-118.623950695 34.1812758949 -55 
-118.5968995 34.2202807509 -50 
-118.569823246 34.2592796624 -45 
-118.542721876 34.298272615 -40 
